,id,name,state,address,lat,lng
97,95,Brown University,RI,"Providence, RI 02912, United States",41.82387,-71.41199
98,96,UW Oshkosh,WI,"800 Algoma Blvd, Oshkosh, WI 54901, United States",44.02636,-88.55148
99,97,New Jersey Institute of Technology,NJ,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, United States",40.74287,-74.17632
100,98,University of Colorado Boulder,CO,"552 UCB, Boulder, CO 80309-0552",40.00579,-105.26487
101,99,Quinnipiac University,CT,"275 Mt Carmel Ave, Hamden, CT 06518, United States",41.42016,-72.89406
102,100,Fort Knox Middle-High School,KY,"266 Maine Street, Bldg 7501. Fort Knox, KY 40121-6812",37.88451,-85.94284
103,101,Rhode Island colleges,RI,"600 Mt Pleasant Ave, Providence, RI 02908, United States",41.84146,-71.45279
104,102,University of Wisconsin-River Falls,WI,"410 S 3rd St, River Falls, WI 54022, United States",44.85481,-92.62336
105,103,University of Alabama TUSCALOOSA,AL,"801 Campus Drive, 206 Student Services Center, Tuscaloosa, AL 35401",33.21454,-87.54683
106,104,University of Maryland College Park,MD,"College Park, MD 20742, United States",38.98074,-76.93725
107,105,Ankeny Community School District,IA,"306 SW School St,Ankeny, IA 50023 ",41.72889,-93.60363
108,106,University of Utah Salt Lake City,UT,"201 Presidents' Cir, Salt Lake City, UT 84112, United States",40.76521,-111.8493
109,107,Providence College Rhode Island,RI,"1 Cunningham Square, Providence, RI 02918, United States",41.84423,-71.43931
110,108,Monroe High School,MI,"901 Herr Rd, Monroe, MI 48161, United States",41.91894,-83.43589
111,109,Edmonton Public School board,AB,"1 Kingsway NW, Edmonton, AB T5H 4G9",53.55512,-113.49647
112,110,Gannon University,PA,"109 University Square, Erie, PA 16541, United States",42.12884,-80.08669
113,111,UW-Oshkosh,WI,"800 Algoma Blvd, Oshkosh, WI 54901, United States",44.02636,-88.55148
114,112, UW-Madison,WI,"333 East Campus Mall #10101,Madison, WI, 53715-1384",43.07232,-89.39884
115,113,Lighthouse Baptist Church,NY,"3721 White Plains Rd, The Bronx, NY 10467, United States",40.88217,-73.86388
116,114,State University of New York at Oswego,NY,"7060 NY-104, Oswego, NY 13126, United States",43.44658,-76.5421
117,115,University of Maryland,MD,"College Park, MD 20742, United States",38.98074,-76.93725
