,title,desciption,url,date
28,<b>University</b> of Arizona Stops a <b>Covid-19</b> <b>Outbreak</b> by Following the Feces,"The <b>University</b> of Arizona managed to nip an <b>outbreak</b> of <b>Covid-19</b> in the bud by monitoring its ... from 20 buildings on campus as part of the <b>school</b>’s testing regimen as roughly 5,000 students ...",https://www.smithsonianmag.com/smart-news/university-arizona-stops-covid-19-outbreak-following-feces-180975684/,2020-08-31T15:28:00.0000000Z
29,Campus <b>outbreaks</b> of <b>COVID-19</b> were almost guaranteed,"<b>University</b> administrators ... plans around reopening amid <b>COVID-19</b>, other than going remote if governors mandated it. And so, the inevitable has come to pass. Now, many college campuses will struggle to control their <b>outbreaks</b>, because there are a lot ...",https://news.yahoo.com/campus-outbreaks-covid-19-were-122243080.html,2020-09-02T12:39:00.0000000Z
30,Temple <b>University</b> moves almost all classes online for remainder of fall semester after <b>Covid-19</b> <b>outbreak</b>,Temple University will shift almost all classes to virtual learning for the rest of the fall semester after an outbreak of Covid-19 caused more than 200 students to test positive for the coronavirus in recent days.,https://www.bizjournals.com/philadelphia/news/2020/09/03/temple-fall-semester-virtual-covid-outbreak.html,2020-09-03T15:28:00.0000000Z
31,Can your <b>school</b> open while avoiding a <b>COVID-19</b> <b>outbreak</b>? These 2 factors matter most,"The plan also includes how the <b>school</b> will respond to cases of <b>COVID-19</b>. <b>School</b> reopenings around ... and professor of public health at the <b>University</b> of California, San Francisco.",https://www.fastcompany.com/90538935/can-your-school-open-while-avoiding-a-covid-19-outbreak-these-2-factors-matter-most?ref=hvper.com,2020-09-02T11:16:00.0000000Z
32,Temple <b>University</b> suspends in-person classes due to <b>COVID-19</b> <b>outbreak</b>,<b>COVID-19</b> <b>OUTBREAK</b>: Temple <b>University</b> is suspending in-person classes for two weeks amid a <b>COVID-19</b> <b>outbreak</b>. Only classes designated by the dean of a <b>school</b> or college as &quot;essential&quot; will continue ...,https://6abc.com/temple-university-coronavirus-covid-fall-202-in-person-classes/6396014/,2020-08-31T02:16:00.0000000Z
33,Campus <b>outbreaks</b> of <b>COVID-19</b> were almost guaranteed,"Ryan Malosh, <b>University</b> of Michigan and Nina Masters, <b>University</b> of Michigan Medical <b>School</b> ... their <b>outbreaks</b>, because there are a lot of unique challenges inherent to <b>COVID-19</b> in this population.",https://www.timesunion.com/news/article/Campus-outbreaks-of-COVID-19-were-almost-15536899.php,2020-09-02T13:07:00.0000000Z
34,<b>COVID-19</b> <b>outbreak</b> quarantines UConn dorm of nearly 300 students,"STORRS — Nearly 300 students in a <b>University</b> ... <b>school</b>’s 10 new cases on Thursday were from that dorm, the <b>school</b> said in a statement. While students who have tested positive were moved to ...",https://www.ctpost.com/news/coronavirus/article/UConn-dorm-quarantined-as-COVID-spreads-on-campus-15520302.php,2020-09-01T16:02:00.0000000Z
35,Indiana <b>University</b> seeing &#39;uncontrolled spread of <b>COVID-19</b>&#39; among Greek life,"Indiana <b>University</b> is the most recent <b>school</b> observing <b>COVID-19</b> <b>outbreaks</b> among its student body. Officials blame Greek life and other communal housing. About 2,600 Indiana <b>University</b> students ...",https://thehill.com/changing-america/well-being/prevention-cures/515151-indiana-university-seeing-uncontrolled-spread-of,2020-09-04T00:01:00.0000000Z
36,Colleges with <b>COVID-19</b> <b>Outbreaks</b> Advised to Keep Students on Campus,Public experts are advising colleges with <b>COVID-19</b> ... The <b>University</b> of North Carolina at Chapel Hill was one of the first to send students home to finish the semester remotely after an <b>outbreak</b>.,https://www.campussafetymagazine.com/university/colleges-covid-19-outbreaks/,2020-09-01T14:27:00.0000000Z
37,Colleges with <b>COVID-19</b> <b>outbreaks</b> advised to keep students on campus,A consensus is building among public health experts that it&#39;s better to keep <b>university</b> students on campus after a <b>COVID-19</b> <b>outbreak</b> ... remotely after the <b>school</b> had an <b>outbreak</b>.,https://www.theday.com/article/20200831/NWS13/200839915,2020-08-31T04:24:00.0000000Z
38,Temple <b>University</b> Moving To Online Learning For At Least Two Weeks Amid <b>COVID-19</b> <b>Outbreak</b>,"PHILADELPHIA (CBS) — Temple <b>University</b> is pausing in-person classes because of a dramatic doubling of <b>COVID-19</b> cases over the ... It’s a big <b>school</b>, it happens,” freshman Taylor Woolford ...",https://philadelphia.cbslocal.com/2020/08/31/temple-university-moving-to-online-learning-for-at-least-two-weeks-amid-covid-19-outbreak/,2020-08-31T21:58:00.0000000Z
39,"Temple&#39;s <b>COVID-19</b> <b>outbreak</b> could spread beyond <b>university</b>, Philly health commissioner warns",A <b>COVID-19</b> <b>outbreak</b> around Temple <b>University</b>&#39;s campus in North Philadelphia ... <b>COVID-19</b> testing guidelines CHOP doctors offer back-to-<b>school</b> safety tips as <b>COVID-19</b> disrupts education On Sunday ...,https://www.phillyvoice.com/philly-covid-19-temple-university-outbreak-coronavirus-off-campus-housing/,2020-09-01T20:51:00.0000000Z
40,<b>COVID-19</b> <b>Outbreaks</b> at Kansas Schools Lead to Quarantines,"At Emporia State <b>University</b>, officials announced Wednesday that all athletic activities were temporarily suspended. The <b>school</b> ... <b>outbreak</b>, inspectors still saw health workers caring for <b>COVID-19</b> ...",https://www.usnews.com/news/best-states/kansas/articles/2020-09-03/covid-19-outbreaks-at-kansas-schools-lead-to-quarantines,2020-09-03T19:48:00.0000000Z
41,Temple pauses in-person classes for two weeks due to <b>COVID-19</b> <b>outbreak</b> on campus,UPDATE: Temple <b>University</b> decided stop holding ... be held in-person during the next two weeks. The <b>school</b> reported 103 active cases of <b>COVID-19</b> among students on Sunday after conducting more ...,https://www.phillyvoice.com/temple-university-in-person-classes-fall-2020-semester-covid-19-cases/,2020-08-31T13:07:00.0000000Z
42,<b>COVID-19</b> <b>outbreak</b> at upstate SUNY campus ‘canary in the coal mine’ for schools reopening: Cuomo,Sign up for our <b>COVID-19</b> newsletter to stay up-to-date on the latest coronavirus news throughout New York City After social gatherings led to 71 students at SUNY ...,https://www.amny.com/education-2/covid-19-outbreak-at-upstate-suny-campus-canary-in-the-coal-mine-for-schools-reopening-cuomo/,2020-08-30T23:52:00.0000000Z
43,Baylor students asked to ‘reside in place’ after <b>COVID-19</b> <b>outbreak</b> in dorm,"WACO, Texas (KXAN) — Students in a residence hall at Baylor <b>University</b> are being asked to stay in their rooms for four days following a <b>COVID-19</b> <b>outbreak</b>. The college wants students who live in ...",https://www.kxan.com/news/coronavirus/baylor-students-asked-to-reside-in-place-after-covid-19-outbreak-in-dorm/,2020-08-31T12:12:00.0000000Z
44,College Campus <b>Outbreaks</b> Of <b>COVID-19</b> Seem Almost Guaranteed,We’ve learned that the virus that causes <b>COVID-19</b> ... the <b>University</b> of Alabama. Many universities that have opted to return to in-person classes are also having a surge in cases. These ...,https://detroit.cbslocal.com/2020/09/02/college-campus-outbreaks-of-covid-19-seem-almost-guaranteed/,2020-09-02T16:35:00.0000000Z
45,Temple <b>University</b> Suspends Most In-Person Classes for Fall Semester After Coronavirus <b>Outbreak</b>,"The <b>school</b> initially paused ... the United States contending with major <b>COVID-19</b> <b>outbreaks</b>. There have been large <b>outbreaks</b> at Iowa State, the <b>University</b> of Iowa, James Madison <b>University</b> and ...",https://www.nbcphiladelphia.com/news/coronavirus/covid-on-campus/temple-university-suspends-in-person-classes-for-fall-semester-after-coronavirus-outbreak/2522541/,2020-09-03T13:47:00.0000000Z
46,UD <b>COVID-19</b> <b>outbreak</b> started with ‘several small gatherings’,Now nearly 10 percent of the student population is infected with <b>COVID-19</b> and the <b>University</b> of Dayton is dealing with the worst campus <b>outbreak</b> in ... data from the <b>school</b>. The <b>university</b> remains ...,https://www.wdtn.com/news/local-news/ud-covid-19-outbreak-started-with-several-small-gatherings/,2020-09-02T19:21:00.0000000Z
47,College towns growing alarmed over <b>covid-19</b> <b>outbreaks</b> among students,"The <b>outbreaks</b> since students began ... of the population,” Reynolds said. The <b>University</b> of Alabama has recorded over 500 cases of <b>COVID-19</b> on campus since the fall semester began last week.",https://triblive.com/news/world/college-towns-growing-alarmed-over-covid-19-outbreaks-among-students/,2020-08-28T16:32:00.0000000Z
48,<b>Outbreaks</b> of <b>COVID-19</b> were almost guaranteed on <b>school</b> campuses — here&#39;s what scientists say colleges should do,We&#39;ve learned that the virus that causes <b>COVID-19</b> ... the <b>University</b> of Alabama. Many universities that have opted to return to in-person classes are also having a surge in cases. These <b>outbreaks</b> ...,https://www.businessinsider.com/what-colleges-should-do-covid-19-outbreaks-surge-across-campuses-2020-9,2020-09-03T13:15:00.0000000Z
