title,description,link,location,state
Michigan State <b>University</b> students asked to self-quarantine amid surge of coronavirus (<b>COVID-19</b>) cases,Students at Michigan State <b>University</b> (MSU) are being asked to self-quarantine as coronavirus (<b>COVID-19</b>) cases continue ... immediately to contain the <b>outbreak</b>.&quot; “This is an urgent situation ...,https://www.clickondetroit.com/news/michigan/2020/09/12/michigan-state-university-students-asked-to-self-quarantine-amid-surge-of-coronavirus-covid-19-cases/,Michigan State University,MI
Kappa Sigma fraternity at CSU sees second <b>COVID-19</b> <b>outbreak</b>,"FORT COLLINS, Colo. — For some Colorado State <b>University</b> students, the news of a second <b>COVID-19</b> <b>outbreak</b> at the Kappa Sigma fraternity came as a surprise. &quot;Maybe they’re partying, maybe they ...",https://www.thedenverchannel.com/news/coronavirus/kappa-sigma-fraternity-at-csu-sees-second-covid-19-outbreak,Colorado State University Fort Collins,CO
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.msn.com/en-us/news/us/bradley-quarantines-student-body-after-covid-19-outbreak/ar-BB18Q1OS,Bradley University,IL
How One South Florida <b>University</b> Is Combating <b>COVID-19</b>,"several colleges and universities have welcomed students back to campus only to be forced to go virtual again because of <b>COVID-19</b> <b>outbreaks</b>. To prevent that scenario, the <b>University</b> of Miami ...",https://www.nbcmiami.com/news/local/schools-and-covid/how-one-south-florida-university-is-combating-covid-19/2291577/,South Florida University,FL
How One South Florida <b>University</b> Is Combating <b>COVID-19</b>,"several colleges and universities have welcomed students back to campus only to be forced to go virtual again because of <b>COVID-19</b> <b>outbreaks</b>. To prevent that scenario, the <b>University</b> of Miami ...",https://www.nbcmiami.com/news/local/schools-and-covid/how-one-south-florida-university-is-combating-covid-19/2291577/,University of Miami,FL
Cuomo: Focus shifting to college <b>outbreaks</b> in state&#39;s <b>COVID-19</b> response,"As concerns grow over <b>COVID-19</b> on campuses, Cuomo named seven schools that have seen <b>outbreaks</b>, including Hofstra <b>University</b> in Hempstead, along with SUNY Oneonta, SUNY Oswego, SUNY Fredonia ...",https://www.newsday.com/news/health/coronavirus/virus-long-island-new-york-schools-covid19-1.49094521,Hofstra University,NY
Cuomo: Focus shifting to college <b>outbreaks</b> in state&#39;s <b>COVID-19</b> response,"As concerns grow over <b>COVID-19</b> on campuses, Cuomo named seven schools that have seen <b>outbreaks</b>, including Hofstra <b>University</b> in Hempstead, along with SUNY Oneonta, SUNY Oswego, SUNY Fredonia ...",https://www.newsday.com/news/health/coronavirus/virus-long-island-new-york-schools-covid19-1.49094521,State University of New York at Oswego,NY
Bradley <b>University</b> quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.wzzm13.com/article/news/health/coronavirus/bradley-university-quarantines-entire-student-body-after-covid-19-outbreak/507-3b9e44dc-b978-4888-9aba-1cfa15ab6b97,Bradley University,IL
"Four Rutgers athletes, athletics staff member test positive for <b>COVID-19</b>","Many athletics programs across the country in recent weeks have dealt with <b>COVID-19</b> <b>outbreaks</b>, especially as general student populations began returning to campus. Rutgers <b>University</b> is mostly ...",https://www.app.com/story/sports/college/rutgers/2020/09/09/covid-19-rutgers-university-four-athletes-staff-member-test-positive/5765123002/,Rutgers University,NJ
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://qctimes.com/bradley-quarantines-student-body-after-covid-19-outbreak/article_2814c85a-68ed-5092-a5cc-9f839f83e3c9.html,Bradley University,IL
