,title,desciption,url,provider,date
27,"<b>University</b> of Delaware eyes layoffs, cost cuts amid <b>COVID-19</b>",University of Delaware officials announced Thursday that they are implementing a variety of cost-cutting measures because of the financial effects of the,https://www.msn.com/en-us/news/us/university-of-delaware-eyes-layoffs-cost-cuts-amid-covid-19/ar-BB19ouwI,Associated Press on MSN.com,2020-09-24T20:48:07.0000000Z
28,Grand Valley State <b>University</b> students ordered to ‘stay in place’ after <b>COVID-19</b> <b>outbreak</b>,Students at Grand Valley State University in Allendale Township have been ordered to “stay in place” for 14 days following more than 600 COVID-19 cases.,https://www.clickondetroit.com/news/2020/09/16/grand-valley-state-university-students-ordered-to-stay-in-place-after-covid-19-outbreak/,clickondetroit.com,2020-09-16T21:45:00.0000000Z
29,Arizona State <b>University</b>/Halberd Pursue Nasal Spray as <b>COVID-19</b> Preventative/Treatment Based on Children&#39;s Natural Immunity,Halberd Corporation&#39;s (OTC PINK:HALB) scientists have determined the reason may be that adults have far more Angiotensin-Converting Enzyme 2 (ACE2) receptors in nasal membrane epithelial cells. ACE2 (3) is a membrane protein expressed in many organs such as nasal and lung epithelial cells.,http://www.digitaljournal.com/pr/4820435,Digital Journal,2020-09-28T12:07:00.0000000Z
30,Va. <b>COVID-19</b> cases continue decline,"Last week, the state saw 5,455 new COVID-19 cases and 151 virus-related deaths, continuing a statewide decline, according to the Virginia Department of Health’s update Monday, Sept. 28. Virginia’s positivity rate is 4.",https://www.virginiabusiness.com/article/va-covid-19-cases-continue-decline/,Virginia Business,2020-09-28T18:33:00.0000000Z
31,Data: King Co. <b>COVID-19</b> Protocols Kept Providers Safer,"When COVID-19 hit King County, Washington, the county’s emergency medical services (EMS) immediately implemented procedures to protect its providers. Those protocols were updated as the outbreak intensified and more was learned about the virus.",https://www.emsworld.com/press-release/1224926/data-king-co-covid-19-protocols-kept-providers-safer,EMS World,2020-09-28T17:34:00.0000000Z
32,Don’t muzzle scientists investigating <b>COVID-19</b>,"Though the death toll from COVID-19 just hit a staggering 200,000 in the U.S., we still don’t know the origins of this killer virus. China, which has been praised by the World Health Organization, has blocked independent investigation.",https://www.minotdailynews.com/opinion/national-columnists/2020/09/dont-muzzle-scientists-investigating-covid-19/,Minot Daily News,2020-09-28T18:36:00.0000000Z
33,"Ohio reports 993 new <b>COVID-19</b> cases, 5 new coronavirus-related deaths","The Ohio Department of Health reported 993 new COVID-19 cases in the state today, bringing the total number of cases to 151,802.",https://www.news5cleveland.com/news/continuing-coverage/coronavirus/ohio-reports-993-new-covid-19-cases-5-new-coronavirus-related-deaths,Cleveland,2020-09-28T18:57:00.0000000Z
34,Ohio State Becomes Ohio&#39;s Largest <b>COVID-19</b> <b>Outbreak</b> So Far,"COLUMBUS, Ohio — While the spread of COVID-19 at Ohio State University is trending downward, the university set a record this week no one wanted to see broken when its count of positive tests surpassed that of Marion Correctional Institution,",https://www.mynews13.com/fl/orlando/news/2020/09/19/ohio-state-becomes-ohio-s-largest-covid-19-outbreak-so-far,News 13,2020-09-27T13:33:00.0000000Z
35,"Florida schools reopened as teachers, families feared <b>COVID-19</b> spike. New data shows otherwise.",Many teachers and families feared a spike in COVID-19 cases when Florida made the controversial push to reopen schools in August with in-person,https://www.njherald.com/news/20200928/florida-schools-reopened-as-teachers-families-feared-covid-19-spike-new-data-shows-otherwise,New Jersey Herald,2020-09-28T17:25:00.0000000Z
36,"Ontario reports 700 cases of <b>COVID-19</b>, beats previous high of 640 in April as authorities struggle to slow virus spread",Ontario has set a new record for daily COVID-19 cases as authorities struggle to slow the spread of the highly contagious virus against a rising tide.,https://www.flamboroughreview.com/news-story/10210775-ontario-reports-700-cases-of-covid-19-beats-previous-high-of-640-in-april-as-authorities-struggle-to-slow-virus-spread/,flamboroughreview.com,2020-09-28T18:06:00.0000000Z
37,Nearly 1M who died of <b>COVID-19</b> also illuminated treatment,"The nearly 1 million people around the world who have lost their lives to COVID-19 have left us a gift: Through desperate efforts to save their lives, scientists now better understand how to treat and prevent the disease — and millions of others may survive.",https://floridapolitics.com/archives/370284-nearly-1m-who-died-of-covid-19-also-illuminated-treatment,Florida Politics,2020-09-28T18:22:00.0000000Z
38,Arizona State <b>University</b>/Halberd Corp. Outline Partnership 2nd Stage Goals of $1.4 M <b>Covid-19</b> Program,"The second stage of the research involves an investigation of a method using dialysis, or a variant of dialysis, to remove the fluorescent antibody-antigen complex, for the rapid identification of a Covid-19 sample.",http://www.digitaljournal.com/pr/4809829,Digital Journal,2020-09-17T11:59:00.0000000Z
39,Coronavirus cases confirmed at York St John <b>University</b> but they stress it is not an <b>outbreak</b>,"Numerous universities in the country have experienced huge outbreaks of cases, forcing thousands of students to self-isolate",https://www.examinerlive.co.uk/news/local-news/coronavirus-cases-confirmed-york-st-19009892,examinerlive,2020-09-28T11:44:00.0000000Z
40,"Vanderbilt football survived 1918 Spanish flu pandemic despite infected coach, contested Tennessee game",Fans in masks. Games canceled. Players infected. Vanderbilt went through a football season during a pandemic in 1918 and had plenty of stories to tell.,https://www.msn.com/en-us/sports/ncaafb/highlights-from-week-4-of-the-college-football-season/ss-BB19sRYE,Tennessean on MSN.com,2020-09-27T11:58:00.0000000Z
41,Western <b>University</b> faces <b>outbreak</b> of <b>COVID-19</b>,"More than two dozen students at Western University have tested positive for COVID-19, prompting the school to shut down many non-academic activities. The school in London, Ont., said most of the 28 students who received positive tests live off-campus,",https://www.flamboroughreview.com/news-story/10202833-western-university-faces-outbreak-of-covid-19/,flamboroughreview.com,2020-09-18T00:12:00.0000000Z
42,Only 10 states are seeing downward trends in new <b>COVID-19</b> cases. Idaho is not one of them,"(CNN) — In this uphill battle against COVID-19, letting your foot off the gas too soon can send you backward. That’s what places like New York City are discovering after months of steady progress in fighting the pandemic.",https://www.eastidahonews.com/2020/09/only-10-states-are-seeing-downward-trends-in-new-covid-19-cases-idaho-is-not-one-of-them/,East Idaho News,2020-09-28T17:51:00.0000000Z
43,<b>COVID-19</b> <b>outbreak</b> declared at Western <b>University</b> after five students test positive,A community outbreak of COVID-19 is being declared by the Middlesex-London Health Unit after five Western University students tested positive for the virus.,https://news.yahoo.com/western-university-covid-19-outbreak-144911067.html,YAHOO!,2020-09-14T14:55:00.0000000Z
44,Michigan State <b>University</b> students asked to self-quarantine after <b>Covid-19</b> <b>outbreak</b>,Health officials on Saturday asked Michigan State University students to self-quarantine immediately after parties contributed to 342 new coronavarius cases.,https://www.msn.com/en-us/news/us/michigan-state-university-students-to-self-quarantine-after/ar-BB18YgAh,CNN on MSN.com,2020-09-12T21:45:08.0000000Z
45,"&#39;This is a long-haul thing&#39;: ASU, UA discuss <b>COVID-19</b> campus <b>outbreaks</b>, brace for possible spike",Both Arizona State <b>University</b> and <b>University</b> of Arizona held virtual meetings Wednesday morning to discuss <b>COVID-19</b> <b>outbreaks</b> among their students and staff in addition to detailing the efforts ...,https://www.azcentral.com/story/news/local/arizona-education/2020/09/09/asu-uarizona-discuss-covid-19-campus-outbreaks-brace-spike-cases/5757894002/,The Arizona Republic,2020-09-11T10:55:00.0000000Z
46,"All Michigan State <b>University</b> students should self-quarantine after major <b>COVID-19</b> <b>outbreak</b>, health department warns","“The exponential growth of <b>COVID-19</b> cases must stop ... 21, said the <b>university</b> hasn&#39;t sent students an update on the <b>outbreak</b> since earlier in the week when there were just over 100 cases.",https://www.detroitnews.com/story/news/local/michigan/2020/09/12/health-department-all-msu-students-should-self-quarantine-after-major-covid-19-outbreak/5779338002/,Detroit News,2020-09-13T15:35:00.0000000Z
47,&#39;Astonishingly risky&#39;: <b>COVID-19</b> cases at colleges are fueling the nation&#39;s hottest <b>outbreaks</b>,"At James Madison <b>University</b>, where rising infections have put the independent city of Harrisonburg at the top of the nation&#39;s <b>outbreaks</b>, the college recorded more than 700 <b>COVID-19</b> cases in one ...",https://www.usatoday.com/story/news/education/2020/09/11/covid-cases-college-us-outbreak-rate-tracker/5759088002/,USA Today,2020-09-12T01:36:00.0000000Z
48,Several hundred Western <b>University</b> students get tested after <b>COVID-19</b> <b>outbreak</b>,A <b>COVID-19</b> community <b>outbreak</b> has been declared by the Middlesex-London Health Unit after five Western <b>University</b> students tested positive for the virus. The health unit expects more cases to ...,https://www.thestar.com/news/canada/2020/09/14/community-covid-19-outbreak-declared-after-western-university-students-test-positive.html,The Star,2020-09-14T16:53:00.0000000Z
49,Climatic changes may potentially impact <b>COVID-19</b> pandemic,A recent epidemiological study by Princeton <b>University</b> researchers suggests that the severity of coronavirus disease 2019 (<b>COVID-19</b>) <b>outbreak</b> during the winter season depends on the susceptibility ...,https://www.news-medical.net/news/20200913/Climatic-changes-may-potentially-impact-COVID-19-pandemic.aspx,News Medical,2020-09-13T00:00:00.0000000Z
50,Bradley <b>University</b> quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,Officials at the private university in central Illinois said they have linked a spike in coronavirus cases to off-campus gatherings.,https://www.12news.com/article/news/health/coronavirus/bradley-university-quarantines-entire-student-body-after-covid-19-outbreak/507-3b9e44dc-b978-4888-9aba-1cfa15ab6b97,KPNX,2020-09-10T01:21:00.0000000Z
51,<b>COVID-19</b>: SFU profs say high schools will probably have <b>outbreaks</b> and closing bars could help,and politicians now anxiously await news of potential <b>COVID-19</b> <b>outbreaks</b>. But two Simon Fraser <b>University</b> mathematics professors have written that &quot;a large number of high schools&quot; in the Fraser ...,https://www.straight.com/education/covid-19-sfu-profs-say-high-schools-will-probably-have-outbreaks-and-closing-bars-could,The Georgia Straight,2020-09-11T07:57:00.0000000Z
52,"‘No Evidence’ Of <b>COVID-19</b> Spread From Temple <b>University</b> <b>Outbreak</b> To Philly Communities, Officials Say","PHILADELPHIA (CBS) — Philadelphia officials are closely monitoring a <b>COVID-19</b> <b>outbreak</b> at Temple <b>University</b>. They say so far, it seems to be subsiding. “Temple <b>University</b> conducted testing ...",https://philadelphia.cbslocal.com/2020/09/08/no-evidence-of-covid-19-spread-from-temple-university-outbreak-to-philly-communities-officials-say/,CBS Philly,2020-09-08T20:34:00.0000000Z
53,SUNY Albany reports ‘very concerning’ <b>COVID-19</b> <b>outbreak</b>,Not addressing the <b>outbreak</b> immediately “could result ... classes after more than 300 students were infected with <b>COVID-19</b>. Cornell <b>University</b> is also struggling to contain an <b>outbreak</b> of ...,https://nypost.com/2020/09/11/suny-albany-reports-very-concerning-coronavirus-outbreak/,New York Post,2020-09-11T07:51:00.0000000Z
54,Michigan State <b>University</b> students asked to self-quarantine after <b>COVID-19</b> <b>outbreak</b>,"The <b>outbreak</b> started as students returned ... to doing everything we can to prevent the spread of <b>COVID-19</b>,” Michigan State <b>University</b> Physician David Weismantel said in the statement.",https://www.wishtv.com/news/national/michigan-state-university-students-asked-to-self-quarantine-after-covid-19-outbreak/,WISHTV8,2020-09-12T00:00:00.0000000Z
55,11 cases of <b>COVID-19</b> confirmed as result of <b>University</b> of New Hampshire fraternity party,Persons not associated with the <b>university</b> can access testing through ... and Human Services is investigating a potential <b>outbreak</b> of <b>COVID-19</b> among individuals associated with the Theta Chi ...,https://www.wmur.com/article/11-cases-of-covid-19-confirmed-as-result-of-university-of-new-hampshire-fraternity-party/33936473,WMUR9,2020-09-08T23:09:00.0000000Z
56,"<b>University</b> of Memphis to pause football practices, activities after <b>COVID-19</b> <b>outbreak</b>","MEMPHIS, Tenn. — The <b>University</b> of Memphis says several people connected to the Tigers football program have tested positive for <b>COVID-19</b>, causing the <b>university</b> to pause practices. It might ...",https://wreg.com/sports/university-of-memphis-to-pause-football-program-after-covid-19-outbreak/,WREG,2020-09-11T20:08:00.0000000Z
57,"<b>COVID-19</b>: CSU Frat Has Second <b>Outbreak</b>, CU Sorority Infected","Early yesterday, September 9, we noted that more than 200 positive <b>COVID-19</b> cases had ... and Colorado State <b>University</b>. Hours later, with the publication of its latest <b>outbreaks</b> report, the ...",https://www.westword.com/news/covid-19-colorado-outbreaks-at-csu-frat-cu-boulder-sorority-update-11794025,Westword,2020-09-10T13:18:00.0000000Z
